Campaign,Ad Group,Keyword,Criterion Type,Status
TC | Busqueda | CABA,Genericas locales,reparacion de celulares caba,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,arreglo de celulares caba,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,servicio tecnico de celulares caba,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,reparacion de celulares buenos aires,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,arreglo de celulares cerca,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,reparacion de celulares cerca,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,casa de reparacion de celulares,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,servicio tecnico celulares,Phrase,Enabled
TC | Busqueda | CABA,iPhone,reparacion iphone caba,Phrase,Enabled
TC | Busqueda | CABA,iPhone,service iphone caba,Phrase,Enabled
TC | Busqueda | CABA,iPhone,arreglo de iphone buenos aires,Phrase,Enabled
TC | Busqueda | CABA,iPhone,cambio de pantalla iphone,Phrase,Enabled
TC | Busqueda | CABA,iPhone,cambio de bateria iphone,Phrase,Enabled
TC | Busqueda | CABA,iPhone,servicio tecnico iphone,Phrase,Enabled
TC | Busqueda | CABA,iPhone,reparacion de iphone cerca,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,cambio de pantalla celular caba,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,reparacion de pantalla celular,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,cambio de modulo celular,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,pantalla rota celular arreglo,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,cambio de display celular,Phrase,Enabled
TC | Busqueda | CABA,Bateria y carga,cambio de bateria celular caba,Phrase,Enabled
TC | Busqueda | CABA,Bateria y carga,cambio de pin de carga celular,Phrase,Enabled
TC | Busqueda | CABA,Bateria y carga,reparacion pin de carga,Phrase,Enabled
TC | Busqueda | CABA,Bateria y carga,bateria celular se descarga rapido,Phrase,Enabled
TC | Busqueda | CABA,Placa y agua,reparacion de placa de celular,Phrase,Enabled
TC | Busqueda | CABA,Placa y agua,reballing celular,Phrase,Enabled
TC | Busqueda | CABA,Placa y agua,celular mojado reparacion,Phrase,Enabled
TC | Busqueda | CABA,Placa y agua,microelectronica celulares,Phrase,Enabled
TC | Busqueda | CABA,Placa y agua,celular no enciende reparacion,Phrase,Enabled
