Campaign,Ad Group,Keyword,Criterion Type,Status
TC | Busqueda | CABA,Genericas locales,reparacion de celulares caba,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,arreglo de celulares caba,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,servicio tecnico de celulares caba,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,reparacion de celulares buenos aires,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,arreglo de celulares cerca,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,reparacion de celulares cerca,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,casa de reparacion de celulares,Phrase,Enabled
TC | Busqueda | CABA,Genericas locales,servicio tecnico celulares,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,cambio de pantalla celular caba,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,reparacion de pantalla celular,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,cambio de modulo celular,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,pantalla rota celular arreglo,Phrase,Enabled
TC | Busqueda | CABA,Pantalla,cambio de display celular,Phrase,Enabled
